,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
220,|Flexible_DDQN|Local_model_7,_1_5,4710.655,58980.3359375,0.03627210110425949,0.034223082806258846
221,|Flexible_DDQN|Local_model_7,_1_2,4768.195,78767.6171875,0.026577061042189598,0.028035474805063416
222,|Flexible_DDQN|Local_model_7,_1_3,4330.6147,34114.96484375,0.0,0.04062876274327262
223,|Flexible_DDQN|Local_model_7,_1_4,5275.0566,42339.11328125,0.02362852543592453,0.03618326572226889
224,|Flexible_DDQN|Local_model_7,_1_45,4350.8096,36058.3828125,0.02910405583679676,0.03940248250163716
225,|Flexible_DDQN|Local_model_7,_1_89,4152.31,43336.1953125,0.03509713336825371,0.041549315084561465
226,|Flexible_DDQN|Local_model_7,_1_42,4687.7896,47833.0703125,0.03393162786960602,0.04015315645225059
227,|Flexible_DDQN|Local_model_7,_1_80,4708.3125,40859.015625,0.03583397716283798,0.03627611452543431
228,|Flexible_DDQN|Local_model_7,_1_74,4948.652,53205.21484375,0.02397041954100132,0.0
229,|Flexible_DDQN|Local_model_7,_1_73,5162.7505,33166.78125,0.0,0.044263925533893
230,|Flexible_DDQN|Local_model_7,_1_87,4347.596,60476.3671875,0.025335486978292465,0.0437761800601722
231,|Flexible_DDQN|Local_model_7,_1_27,4755.524,36011.8671875,0.022211961448192596,0.04395420019818291
232,|Flexible_DDQN|Local_model_7,_1_18,4583.2373,45441.83203125,0.026584923267364502,0.03455329101017282
233,|Flexible_DDQN|Local_model_7,_1_20,4387.384,28154.046875,0.025032036006450653,0.038963984351986475
234,|Flexible_DDQN|Local_model_7,_1_16,4878.8677,40004.31640625,0.010939015075564384,0.035431841414027325
235,|Flexible_DDQN|Local_model_7,_1_29,4182.127,50168.15625,0.0377865694463253,0.04104850776980555
236,|Flexible_DDQN|Local_model_7,_1_11,4655.765,34200.0625,0.01989922858774662,0.03988220845225421
237,|Flexible_DDQN|Local_model_7,_1_86,4562.0933,32608.9140625,0.035592593252658844,0.03509683058771845
238,|Flexible_DDQN|Local_model_7,_1_72,4738.759,54008.34375,0.03601247817277908,0.034603112534763274
239,|Flexible_DDQN|Local_model_7,_1_75,4414.574,35655.4765625,0.04391553997993469,0.03264800469741493
240,|Flexible_DDQN|Local_model_7,_1_81,4898.998,41566.77734375,0.025914551690220833,0.02772633319253693
241,|Flexible_DDQN|Local_model_7,_1_88,4636.5234,38543.38671875,0.040504757314920425,0.04208350029725768
242,|Flexible_DDQN|Local_model_7,_1_43,4462.8813,55230.78515625,0.018732042983174324,0.03660616279301572
243,|Flexible_DDQN|Local_model_7,_1_44,4444.3096,56033.4296875,0.030578557401895523,0.032846133977016904
244,|Flexible_DDQN|Local_model_7,_1_10,4148.0728,65897.1171875,0.03221825882792473,0.044300587793676766
245,|Flexible_DDQN|Local_model_7,_1_17,4612.715,56526.16796875,0.04117954894900322,0.033559293291811544
246,|Flexible_DDQN|Local_model_7,_1_28,4298.2275,67682.984375,0.04263920336961746,0.0356448454606922
247,|Flexible_DDQN|Local_model_7,_1_21,4840.3926,38187.78515625,0.057163480669260025,0.03417010984282422
248,|Flexible_DDQN|Local_model_7,_1_26,5521.2573,44848.70703125,0.0019576724153012037,0.040567607428764335
249,|Flexible_DDQN|Local_model_7,_1_19,4366.448,42540.23046875,0.030950620770454407,0.02788198740321885
250,|Flexible_DDQN|Local_model_7,_1_62,5289.707,41782.22265625,0.00879642553627491,0.04067146910109646
251,|Flexible_DDQN|Local_model_7,_1_96,4500.2534,52788.30078125,0.03183796629309654,0.039434499017848706
